source,target
Fragment_0,Fragment_1
Fragment_0,Fragment_2
Fragment_0,Fragment_3
Fragment_0,Fragment_4
Fragment_0,Fragment_5
Fragment_0,Fragment_6
Fragment_0,Fragment_7
Fragment_0,Fragment_8
Fragment_0,Fragment_9
Fragment_0,Fragment_13
Fragment_0,Fragment_32
Fragment_0,Fragment_33
Fragment_0,Fragment_40
Fragment_0,Fragment_41
Fragment_0,Fragment_56
Fragment_0,Fragment_61
Fragment_0,Fragment_62
Fragment_0,Fragment_65
Fragment_1,Fragment_2
Fragment_1,Fragment_3
Fragment_1,Fragment_4
Fragment_1,Fragment_5
Fragment_1,Fragment_6
Fragment_1,Fragment_7
Fragment_1,Fragment_8
Fragment_1,Fragment_9
Fragment_1,Fragment_13
Fragment_1,Fragment_32
Fragment_1,Fragment_33
Fragment_1,Fragment_40
Fragment_1,Fragment_41
Fragment_1,Fragment_56
Fragment_1,Fragment_61
Fragment_1,Fragment_62
Fragment_1,Fragment_65
Fragment_2,Fragment_3
Fragment_2,Fragment_4
Fragment_2,Fragment_5
Fragment_2,Fragment_6
Fragment_2,Fragment_7
Fragment_2,Fragment_8
Fragment_2,Fragment_9
Fragment_2,Fragment_13
Fragment_2,Fragment_32
Fragment_2,Fragment_33
Fragment_2,Fragment_40
Fragment_2,Fragment_41
Fragment_2,Fragment_56
Fragment_2,Fragment_61
Fragment_2,Fragment_62
Fragment_2,Fragment_65
Fragment_3,Fragment_4
Fragment_3,Fragment_5
Fragment_3,Fragment_6
Fragment_3,Fragment_7
Fragment_3,Fragment_8
Fragment_3,Fragment_9
Fragment_3,Fragment_13
Fragment_3,Fragment_32
Fragment_3,Fragment_33
Fragment_3,Fragment_40
Fragment_3,Fragment_41
Fragment_3,Fragment_56
Fragment_3,Fragment_61
Fragment_3,Fragment_62
Fragment_3,Fragment_65
Fragment_4,Fragment_5
Fragment_4,Fragment_6
Fragment_4,Fragment_7
Fragment_4,Fragment_8
Fragment_4,Fragment_9
Fragment_4,Fragment_13
Fragment_4,Fragment_32
Fragment_4,Fragment_33
Fragment_4,Fragment_40
Fragment_4,Fragment_41
Fragment_4,Fragment_56
Fragment_4,Fragment_61
Fragment_4,Fragment_62
Fragment_4,Fragment_65
Fragment_5,Fragment_6
Fragment_5,Fragment_7
Fragment_5,Fragment_8
Fragment_5,Fragment_9
Fragment_5,Fragment_13
Fragment_5,Fragment_32
Fragment_5,Fragment_33
Fragment_5,Fragment_40
Fragment_5,Fragment_41
Fragment_5,Fragment_56
Fragment_5,Fragment_61
Fragment_5,Fragment_62
Fragment_5,Fragment_65
Fragment_6,Fragment_7
Fragment_6,Fragment_8
Fragment_6,Fragment_9
Fragment_6,Fragment_13
Fragment_6,Fragment_32
Fragment_6,Fragment_33
Fragment_6,Fragment_40
Fragment_6,Fragment_41
Fragment_6,Fragment_56
Fragment_6,Fragment_61
Fragment_6,Fragment_62
Fragment_6,Fragment_65
Fragment_7,Fragment_8
Fragment_7,Fragment_9
Fragment_7,Fragment_13
Fragment_7,Fragment_32
Fragment_7,Fragment_33
Fragment_7,Fragment_40
Fragment_7,Fragment_41
Fragment_7,Fragment_56
Fragment_7,Fragment_61
Fragment_7,Fragment_62
Fragment_7,Fragment_65
Fragment_8,Fragment_9
Fragment_8,Fragment_13
Fragment_8,Fragment_32
Fragment_8,Fragment_33
Fragment_8,Fragment_40
Fragment_8,Fragment_41
Fragment_8,Fragment_56
Fragment_8,Fragment_61
Fragment_8,Fragment_62
Fragment_8,Fragment_65
Fragment_9,Fragment_13
Fragment_9,Fragment_32
Fragment_9,Fragment_33
Fragment_9,Fragment_40
Fragment_9,Fragment_41
Fragment_9,Fragment_56
Fragment_9,Fragment_61
Fragment_9,Fragment_62
Fragment_9,Fragment_65
Fragment_13,Fragment_32
Fragment_13,Fragment_33
Fragment_13,Fragment_40
Fragment_13,Fragment_41
Fragment_13,Fragment_56
Fragment_13,Fragment_61
Fragment_13,Fragment_62
Fragment_13,Fragment_65
Fragment_32,Fragment_33
Fragment_32,Fragment_40
Fragment_32,Fragment_41
Fragment_32,Fragment_56
Fragment_32,Fragment_61
Fragment_32,Fragment_62
Fragment_32,Fragment_65
Fragment_33,Fragment_40
Fragment_33,Fragment_41
Fragment_33,Fragment_56
Fragment_33,Fragment_61
Fragment_33,Fragment_62
Fragment_33,Fragment_65
Fragment_40,Fragment_41
Fragment_40,Fragment_56
Fragment_40,Fragment_61
Fragment_40,Fragment_62
Fragment_40,Fragment_65
Fragment_41,Fragment_56
Fragment_41,Fragment_61
Fragment_41,Fragment_62
Fragment_41,Fragment_65
Fragment_56,Fragment_61
Fragment_56,Fragment_62
Fragment_56,Fragment_65
Fragment_61,Fragment_62
Fragment_61,Fragment_65
Fragment_62,Fragment_65
Fragment_14,Fragment_15
Fragment_14,Fragment_16
Fragment_14,Fragment_19
Fragment_14,Fragment_20
Fragment_14,Fragment_21
Fragment_14,Fragment_22
Fragment_14,Fragment_23
Fragment_14,Fragment_24
Fragment_14,Fragment_25
Fragment_14,Fragment_26
Fragment_14,Fragment_38
Fragment_14,Fragment_47
Fragment_14,Fragment_48
Fragment_14,Fragment_49
Fragment_14,Fragment_50
Fragment_14,Fragment_51
Fragment_15,Fragment_16
Fragment_15,Fragment_19
Fragment_15,Fragment_20
Fragment_15,Fragment_21
Fragment_15,Fragment_22
Fragment_15,Fragment_23
Fragment_15,Fragment_24
Fragment_15,Fragment_25
Fragment_15,Fragment_26
Fragment_15,Fragment_38
Fragment_15,Fragment_47
Fragment_15,Fragment_48
Fragment_15,Fragment_49
Fragment_15,Fragment_50
Fragment_15,Fragment_51
Fragment_16,Fragment_19
Fragment_16,Fragment_20
Fragment_16,Fragment_21
Fragment_16,Fragment_22
Fragment_16,Fragment_23
Fragment_16,Fragment_24
Fragment_16,Fragment_25
Fragment_16,Fragment_26
Fragment_16,Fragment_38
Fragment_16,Fragment_47
Fragment_16,Fragment_48
Fragment_16,Fragment_49
Fragment_16,Fragment_50
Fragment_16,Fragment_51
Fragment_19,Fragment_20
Fragment_19,Fragment_21
Fragment_19,Fragment_22
Fragment_19,Fragment_23
Fragment_19,Fragment_24
Fragment_19,Fragment_25
Fragment_19,Fragment_26
Fragment_19,Fragment_38
Fragment_19,Fragment_47
Fragment_19,Fragment_48
Fragment_19,Fragment_49
Fragment_19,Fragment_50
Fragment_19,Fragment_51
Fragment_20,Fragment_21
Fragment_20,Fragment_22
Fragment_20,Fragment_23
Fragment_20,Fragment_24
Fragment_20,Fragment_25
Fragment_20,Fragment_26
Fragment_20,Fragment_38
Fragment_20,Fragment_47
Fragment_20,Fragment_48
Fragment_20,Fragment_49
Fragment_20,Fragment_50
Fragment_20,Fragment_51
Fragment_21,Fragment_22
Fragment_21,Fragment_23
Fragment_21,Fragment_24
Fragment_21,Fragment_25
Fragment_21,Fragment_26
Fragment_21,Fragment_38
Fragment_21,Fragment_47
Fragment_21,Fragment_48
Fragment_21,Fragment_49
Fragment_21,Fragment_50
Fragment_21,Fragment_51
Fragment_22,Fragment_23
Fragment_22,Fragment_24
Fragment_22,Fragment_25
Fragment_22,Fragment_26
Fragment_22,Fragment_38
Fragment_22,Fragment_47
Fragment_22,Fragment_48
Fragment_22,Fragment_49
Fragment_22,Fragment_50
Fragment_22,Fragment_51
Fragment_23,Fragment_24
Fragment_23,Fragment_25
Fragment_23,Fragment_26
Fragment_23,Fragment_38
Fragment_23,Fragment_47
Fragment_23,Fragment_48
Fragment_23,Fragment_49
Fragment_23,Fragment_50
Fragment_23,Fragment_51
Fragment_24,Fragment_25
Fragment_24,Fragment_26
Fragment_24,Fragment_38
Fragment_24,Fragment_47
Fragment_24,Fragment_48
Fragment_24,Fragment_49
Fragment_24,Fragment_50
Fragment_24,Fragment_51
Fragment_25,Fragment_26
Fragment_25,Fragment_38
Fragment_25,Fragment_47
Fragment_25,Fragment_48
Fragment_25,Fragment_49
Fragment_25,Fragment_50
Fragment_25,Fragment_51
Fragment_26,Fragment_38
Fragment_26,Fragment_47
Fragment_26,Fragment_48
Fragment_26,Fragment_49
Fragment_26,Fragment_50
Fragment_26,Fragment_51
Fragment_38,Fragment_47
Fragment_38,Fragment_48
Fragment_38,Fragment_49
Fragment_38,Fragment_50
Fragment_38,Fragment_51
Fragment_47,Fragment_48
Fragment_47,Fragment_49
Fragment_47,Fragment_50
Fragment_47,Fragment_51
Fragment_48,Fragment_49
Fragment_48,Fragment_50
Fragment_48,Fragment_51
Fragment_49,Fragment_50
Fragment_49,Fragment_51
Fragment_50,Fragment_51
Fragment_27,Fragment_28
Fragment_27,Fragment_29
Fragment_27,Fragment_30
Fragment_27,Fragment_31
Fragment_27,Fragment_34
Fragment_27,Fragment_35
Fragment_27,Fragment_36
Fragment_27,Fragment_52
Fragment_27,Fragment_53
Fragment_27,Fragment_54
Fragment_27,Fragment_55
Fragment_28,Fragment_29
Fragment_28,Fragment_30
Fragment_28,Fragment_31
Fragment_28,Fragment_34
Fragment_28,Fragment_35
Fragment_28,Fragment_36
Fragment_28,Fragment_52
Fragment_28,Fragment_53
Fragment_28,Fragment_54
Fragment_28,Fragment_55
Fragment_29,Fragment_30
Fragment_29,Fragment_31
Fragment_29,Fragment_34
Fragment_29,Fragment_35
Fragment_29,Fragment_36
Fragment_29,Fragment_52
Fragment_29,Fragment_53
Fragment_29,Fragment_54
Fragment_29,Fragment_55
Fragment_30,Fragment_31
Fragment_30,Fragment_34
Fragment_30,Fragment_35
Fragment_30,Fragment_36
Fragment_30,Fragment_52
Fragment_30,Fragment_53
Fragment_30,Fragment_54
Fragment_30,Fragment_55
Fragment_31,Fragment_34
Fragment_31,Fragment_35
Fragment_31,Fragment_36
Fragment_31,Fragment_52
Fragment_31,Fragment_53
Fragment_31,Fragment_54
Fragment_31,Fragment_55
Fragment_34,Fragment_35
Fragment_34,Fragment_36
Fragment_34,Fragment_52
Fragment_34,Fragment_53
Fragment_34,Fragment_54
Fragment_34,Fragment_55
Fragment_35,Fragment_36
Fragment_35,Fragment_52
Fragment_35,Fragment_53
Fragment_35,Fragment_54
Fragment_35,Fragment_55
Fragment_36,Fragment_52
Fragment_36,Fragment_53
Fragment_36,Fragment_54
Fragment_36,Fragment_55
Fragment_52,Fragment_53
Fragment_52,Fragment_54
Fragment_52,Fragment_55
Fragment_53,Fragment_54
Fragment_53,Fragment_55
Fragment_54,Fragment_55
Centroid_0,Centroid_1
Centroid_0,Centroid_2
Centroid_1,Centroid_2
